dataset,model,MAE,RMSE,R2,train_rows,test_rows
Solar,Linear Regression,1560.782916343602,2156.6238413963215,0.9010611424460974,5112,1304
Solar,LightGBM,453.32064838655543,1327.760105799692,0.9624977505345698,5112,1304
Wind,Linear Regression,247.00231206346345,409.49445753313944,0.9068974518315339,40424,10106
Wind,LightGBM,220.59890271678552,436.2111520411387,0.8943525447939482,40424,10106
